Temática,Título,Respuesta
¿Quién puede ver la información de mi perfil empresarial?,Mi Cuenta (Perfil Empresarial),"La información sensible, como el RFC, contraseñas o el documento fiscal (en el caso de una cuenta de empresa de autotransporte), no es visible para otros usuarios, excepto para la persona a quien pertenece dicha información."
¿Cómo se utiliza la información del perfil en las operaciones de CargaLink?,Mi Cuenta (Perfil Empresarial),"La información proporcionada en el perfil empresarial de CargaLink es utilizada para facilitar la conexión entre las empresas y los usuarios de la plataforma. Los datos como la razón social, dirección y tipo de empresa son esenciales para realizar publicaciones de ofertas, coordinar entregas y permitir que los usuarios interesados en sus servicios puedan contactarlos de manera efectiva."
¿Qué formato debe tener el archivo del comprobante fiscal?,Mi Cuenta (Perfil Empresarial),El archivo del comprobante fiscal debe estar en formato PDF.
¿Puedo agregar información adicional que no está en los campos predefinidos?,Mi Cuenta (Perfil Empresarial),"No, actualmente CargaLink solo permite agregar información dentro de los campos predefinidos en el perfil empresarial. Sin embargo, los campos disponibles están diseñados para cubrir la información esencial necesaria para las operaciones en la aplicación."
¿Cómo afecta la información de mi perfil a las cotizaciones y contratos?,Mi Cuenta (Perfil Empresarial),"La información de su perfil empresarial permite a otras empresas visualizar los datos esenciales al momento de solicitar o recibir cotizaciones. Las cotizaciones se pueden discutir únicamente a través del chat con las empresas que se han postulado para cumplir con una oferta específica. En cuanto a los contratos, solo los perfiles de las empresas involucradas, ya sea la empresa contratada o la que publicó la oferta, tienen acceso a los detalles del contrato."
¿Existe alguna verificación de la información ingresada en el perfil?,Mi Cuenta (Perfil Empresarial),"Sí, para garantizar la autenticidad de la información y prevenir fraudes, a las empresas de autotransporte se les solicita proporcionar su documento fiscal como parte del proceso de verificación."
¿Cómo puedo obtener ayuda si tengo problemas para completar mi perfil?,Mi Cuenta (Perfil Empresarial),"CargaLink pone a disposición de los usuarios un chatbot que puede resolver dudas generales y proporcionar asistencia en el proceso de completar el perfil. Si necesita ayuda adicional, no dude en contactar con nuestro equipo de soporte. ¿En qué puedo asistirle?"
¿Se notifica a alguien cuando actualizo la información de mi empresa?,Mi Cuenta (Perfil Empresarial),"No, no se envían notificaciones a otros usuarios cuando se actualiza la información de la empresa. Sin embargo, es importante mantener los datos actualizados para garantizar una comunicación fluida y precisa dentro de la plataforma."
¿Cuál es la diferencia entre razón social y nombre comercial?,Mi Cuenta (Perfil Empresarial),"La razón social es el nombre legalmente registrado de la empresa, utilizado en documentos oficiales y fiscales, mientras que el nombre comercial es el nombre con el que la empresa se presenta ante el público y realiza sus actividades comerciales. El nombre comercial puede diferir de la razón social y suele ser más conocido en el mercado."
¿Puedo vincular mi perfil empresarial con mis redes sociales?,Mi Cuenta (Perfil Empresarial),"Por el momento, CargaLink no ofrece la opción de vincular su perfil empresarial con redes sociales."
¿Cómo se garantiza la seguridad de la información de mi empresa?,Mi Cuenta (Perfil Empresarial),"En CargaLink implementamos diversas prácticas y métodos de seguridad para proteger la información de su empresa, incluyendo encriptación de datos, acceso restringido y monitoreo continuo para prevenir cualquier acceso no autorizado."
¿Puedo descargar una copia de la información de mi perfil empresarial?,Mi Cuenta (Perfil Empresarial),"No, actualmente CargaLink no ofrece la opción de descargar una copia de la información de su perfil empresarial."
¿Con qué frecuencia debo actualizar el comprobante de situación fiscal?,Mi Cuenta (Perfil Empresarial),"El comprobante de situación fiscal debe subirse una sola vez, siempre y cuando no tenga más de 3 meses desde su emisión. Esta medida se toma para evitar fraudes y habilitar las cuentas de empresas de autotransporte."
¿Cómo se refleja mi perfil empresarial ante otros usuarios de CargaLink?,Mi Cuenta (Perfil Empresarial),"La visibilidad de su perfil empresarial depende de su tipo de cuenta.
Si es una empresa de autotransporte, las empresas clientes podrán ver las evaluaciones realizadas por otras empresas, junto con ciertos datos relevantes de su perfil.
Si es una empresa cliente, los demás usuarios solo podrán ver las ofertas de trabajo publicadas y algunos detalles básicos del perfil empresarial."
¿Puedo tener perfiles empresariales separados para diferentes tipos de servicios?,Mi Cuenta (Perfil Empresarial),"No, CargaLink permite únicamente un tipo de cuenta por empresa, sin la posibilidad de crear perfiles empresariales separados para distintos servicios."
¿Cómo agrego o elimino usuarios autorizados para editar el perfil empresarial?,Mi Cuenta (Perfil Empresarial),no
¿Existe alguna certificación o verificación del perfil empresarial en CargaLink?,Mi Cuenta (Perfil Empresarial),"Sí, los perfiles empresariales de autotransporte son verificados mediante la constancia de situación fiscal, lo que garantiza mayor confianza y seguridad para los usuarios."
¿Cómo actualizo mi nombre en el perfil de representante?,Mi Cuenta (Cuenta Representante),no
¿Puedo cambiar mi RFC una vez registrado?,Mi Cuenta (Cuenta Representante),"No, en CargaLink el RFC se utiliza como clave primaria para identificar a las cuentas, por lo que no es posible modificarlo una vez registrado. Si hubo un error al ingresar el RFC, le recomendamos borrar su cuenta y registrar una nueva cuenta con la información correcta."
¿Cómo modifico mi número de teléfono?,Mi Cuenta (Cuenta Representante),no
¿Es posible tener más de un correo electrónico asociado a mi cuenta?,Mi Cuenta (Cuenta Representante),"No, cada cuenta en CargaLink está vinculada a un único correo electrónico, el cual se utiliza para la comunicación y la autenticación"
¿Con qué frecuencia debo cambiar mi contraseña?,Mi Cuenta (Cuenta Representante),"Se recomienda cambiar su contraseña cada tres a seis meses para garantizar la seguridad de su cuenta. Además, es importante actualizarla inmediatamente si sospecha que su cuenta ha sido comprometida o si detecta actividad inusual."
¿Qué hago si olvidé mi contraseña?,Mi Cuenta (Cuenta Representante),no
¿Puedo usar el mismo RFC para múltiples cuentas de representante?,Mi Cuenta (Cuenta Representante),"No, cada RFC debe estar asociado a una única cuenta de representante para garantizar la autenticidad y evitar duplicidades en el sistema."
¿Cómo se garantiza la privacidad de mis datos personales?,Mi Cuenta (Cuenta Representante),"Para proteger su privacidad, CargaLink utiliza medidas de seguridad avanzadas. Los documentos y contraseñas son encriptados y almacenados de manera segura en nuestros servidores, asegurando que solo usted tenga acceso autorizado."
¿Cómo agrego una foto de perfil a mi cuenta?,Mi Cuenta (Cuenta Representante),"Las cuentas personales no incluyen la opción de agregar una foto de perfil. Sin embargo, las cuentas empresariales pueden cargar el logotipo de la empresa. Si usted es representante de una empresa, el logotipo será utilizado como la imagen asociada a su cuenta."
¿Es necesario proporcionar tanto el apellido paterno como el materno?,Mi Cuenta (Cuenta Representante),"Es altamente recomendable, ya que incluir ambos apellidos ayuda a transmitir transparencia y confianza a otros usuarios en la plataforma."
¿Puedo tener diferentes perfiles de representante para distintas empresas?,Mi Cuenta (Cuenta Representante),"Sí, puedes tener diferentes perfiles de representante, siempre y cuando cada uno esté asociado a una empresa distinta que no esté previamente registrada en la aplicación."
¿Existe un proceso de verificación para las cuentas de representante?,Mi Cuenta (Cuenta Representante),"Sí, las cuentas de representante de empresas de autotransporte son verificadas mediante la validación del documento fiscal, asegurando que la información proporcionada sea correcta y legítima."
¿Qué información de mi perfil es visible para otros usuarios de CargaLink?,Mi Cuenta (Cuenta Representante),no
¿Cómo puedo dar de baja mi cuenta de representante?,Mi Cuenta (Cuenta Representante),no
¿Es posible cambiar el correo electrónico asociado a mi cuenta?,Mi Cuenta (Cuenta Representante),no
¿Qué requisitos debe cumplir mi contraseña?,Mi Cuenta (Cuenta Representante),"La contraseña debe tener al menos 8 caracteres, incluir al menos una letra mayúscula y un número para garantizar mayor seguridad."
¿Puedo tener una cuenta de representante sin estar asociado a una empresa?,Mi Cuenta (Cuenta Representante),"No, en CargaLink, todas las cuentas de representante deben estar asociadas a una empresa para poder operar dentro de la plataforma."
¿Cómo se maneja la información si represento a múltiples empresas?,Mi Cuenta (Cuenta Representante),CargaLink no permite que un mismo usuario sea representante de múltiples empresas. Cada cuenta de representante debe estar asociada únicamente a una empresa para garantizar la claridad y la organización en las operaciones.
¿Existe un límite de caracteres para los campos de nombre y apellidos?,Mi Cuenta (Cuenta Representante),"Sí, los campos de nombre, apellido paterno y apellido materno están limitados a un máximo de 50 caracteres cada uno."
¿Qué debo hacer si detecto un acceso no autorizado a mi cuenta?,Mi Cuenta (Cuenta Representante),"Si detecta un acceso no autorizado a su cuenta, le recomendamos tomar las siguientes acciones de inmediato:
	1- Cambie la contraseña de su cuenta en CargaLink para evitar futuros accesos no autorizados.
	2- Cambie también la contraseña del correo electrónico asociado a su cuenta, ya que podría estar comprometido.
	3- Verifique si hay información o acciones sospechosas en su cuenta."
¿Cómo se manejan los permisos y accesos asociados a mi cuenta?,Mi Cuenta (Cuenta Representante),"La autenticación y autorización en CargaLink se gestionan de la siguiente manera:
	1- Autenticación: Al iniciar sesión, el servidor valida sus credenciales (correo y contraseña).
	2- Asignación de Token: Si las credenciales son correctas, se genera un token único para su sesión.
	3- Control de Permisos: El token define las acciones que puede realizar en la plataforma según el rol asociado a su cuenta (representante de empresa, transportista, etc.).
	4- Seguridad: Este sistema garantiza que solo las cuentas autorizadas puedan acceder y realizar acciones específicas dentro de CargaLink."
¿Puedo ver un historial de cambios realizados en mi perfil?,Mi Cuenta (Cuenta Representante),"No, CargaLink no almacena un historial de cambios en los datos del perfil. Por esta razón, se recomienda verificar cuidadosamente la información antes de actualizarla para evitar inconvenientes."
¿Cómo se integra mi información de representante con el perfil de la empresa?,Mi Cuenta (Cuenta Representante),"La información del representante permite a las empresas y transportistas identificar con quién están interactuando y formalizando acuerdos. Por su parte, los datos del perfil empresarial establecen la relación entre cada representante y su empresa, asegurando que todas las operaciones estén asociadas a la entidad correspondiente."
¿Cómo puedo ver más detalles sobre un contrato específico?,Tablero (Representante Cliente),"Si tiene una cuenta de representante de empresa, en el menú lateral izquierdo encontrará la opción ""Trabajos actuales"". Al seleccionarla, se desplegará una pagina para la gestión de trabajos.
En las secciones ""Viajes en curso"" o ""Viajes finalizados"", podrá hacer clic en el botón ""Detalles"" de cualquier viaje. Esto abrirá una vista con la información del viaje, donde encontrará un botón denominado ""Contrato"". Al presionar este botón, el contrato se descargara para que lo pueda visualizar"
¿Qué información debo incluir al publicar una oferta?,Tablero (Representante Cliente),"Al publicar una oferta, debe incluir la siguiente información:
	- Descripción: Detalles sobre la oferta.
	- Lugar de inicio: Ubicación desde donde se enviará la carga.
	- Lugar de destino: Ubicación a donde se enviará la carga.
	- Precio: Monto que está dispuesto a pagar por el servicio.
	- Peso total: Peso total de las cargas a transportar.
	- Fecha final: Fecha en la que se requiere que la carga esté disponible.
	- Hora final: Hora en la que se necesita que la carga esté lista.
	- Cargas: Detalles sobre las cargas que incluyen tipo, peso, dimensiones, entre otros datos relevantes."
¿Puedo editar una oferta después de publicarla?,Tablero (Representante Cliente),"No, para evitar malos entendidos con las empresas de autotransporte, si se comete un error en la información de la oferta, es necesario eliminar la oferta y volverla a publicar con los datos correctos."
¿Cómo puedo ver las ofertas que ya he publicado?,Tablero (Representante Cliente),no
¿Cómo puedo contactar a un postulante para una oferta?,Tablero (Representante Cliente),no
¿Puedo cancelar una oferta después de publicarla?,Tablero (Representante Cliente),"Sí, si no ha sido aceptado ningún postulante, se puede eliminar la oferta en cualquier momento."
¿Cómo se determina el orden de los postulantes en la lista?,Tablero (Representante Cliente),"El orden de los postulantes en la lista se determina según las preferencias que el usuario haya establecido en la aplicación. Las empresas que se postulen y que sean más similares a estas preferencias aparecerán primero, basándose en las evaluaciones previas y la relevancia de las ofertas."
¿Puedo establecer un plazo para recibir postulaciones?,Tablero (Representante Cliente),"No, CargaLink no permite establecer un plazo específico para recibir postulaciones. Sin embargo, si una oferta no recibe ninguna postulación en un plazo de 2 días, será eliminada automáticamente."
¿Cómo actualizo el estado de un viaje actual?,Tablero (Representante Cliente),no
¿Cómo puedo ver el historial de ofertas y viajes completados?,Tablero (Representante Cliente),no
¿Puedo exportar la lista de viajes actuales o ofertas publicadas?,Tablero (Representante Cliente),no
¿Cómo se maneja la privacidad de la información en las ofertas publicadas?,Tablero (Representante Cliente),"CargaLink maneja diferentes niveles de autorización para visualizar las ofertas publicadas, según el tipo de usuario:
	- Representante cliente: Solo puede ver las ofertas publicadas por este usuario.
	- Representante de transporte: Este usuario puede ver únicamente las ofertas a las que puede postularse y aquellas en las que ya se ha postulado.
	- Transportista: Solo puede ver las ofertas a las que ha sido asignado por el representante de transporte."
¿Existe un límite de ofertas que puedo publicar simultáneamente?,Tablero (Representante Cliente),"No, no existe un límite. Puede publicar tantas ofertas como lo necesite."
¿Es posible programar la publicación de una oferta para una fecha futura?,Tablero (Representante Cliente),"No, actualmente no es posible programar la publicación de una oferta para una fecha futura."
¿Cómo agrego un nuevo transportista a la lista?,Registro de transportistas,"En el menú, encuentras la sección de Transportistas, una vez en esa sección, arriba de la tabla en la esquina superior derecha, encontrarás el botón de ""Agregar nuevo transportista""."
"¿Qué significa la columna ""Categoría de Licencia""?",Registro de transportistas,"En México hay varios tipos de licencia de conducir, los transportistas con licencia federal de tipo B, podrán ser asignados a cualquier configuración de tractocamión articulado. Los transportistas con licencia federal de tipo C, solo podrán ser asignados a camiones unitarios de dos y tres ejes. Los transportistas con licencia federal tipo B y C podrán ser asignados a cualquier vehículo."
¿Cómo puedo editar la información de un transportista existente?,Registro de transportistas,"En la sección de Transportistas se visualizan los transportistas ya registrados, en la columna de ""Acciones"" se encuentran los botones para actualizar (botón azul) y eliminar (botón rojo). Dando clic en el botón azul de la fila del transportista que se quiera modificar, se le redirigirá al formulario de edición."
"¿Qué significa el estatus ""No disponible"" y cómo se cambia?",Registro de transportistas,"Significa que el recurso (transportista, vehículo o semirremolque) no está disponible para un viaje, esto se puede editar en la sección respectiva del recurso, en la columna de acciones se encuentra el botón de editar con un ícono de lápiz color azul."
¿Puedo filtrar la lista de transportistas por sede o experiencia?,Registro de transportistas,"No, actualmente no es posible filtrar la lista de transportistas por sede o experiencia."
¿Cómo se verifica la información proporcionada por las empresas transportistas?,Registro de transportistas,La información proporcionada por las empresas transportistas es verificada por el administrador de la página mediante un proceso de validación de la constancia de situación fiscal.
"¿Qué significa el ícono de lápiz en la columna ""Acción""?",Registro de transportistas,"El botón azul con ícono de lápiz en la columna ""Acción"" permite editar la información del elemento correspondiente. Al hacer clic, podrás modificar los datos registrados del recurso."
¿Cómo se maneja la privacidad de los datos de los transportistas?,Registro de transportistas,"La privacidad de los datos de los transportistas se garantiza mediante medidas de seguridad, como el uso de contraseñas encriptadas y el acceso limitado a usuarios autorizados."
¿Puedo exportar la lista de transportistas a un archivo Excel?,Registro de transportistas,"No, el sistema no permite exportar listas a archivos e ningún tipo."
¿Cómo se asigna o cambia la sede de un transportista?,Registro de transportistas,"Para asignar o cambiar la sede de un transportista, debes ingresar a la sección de Transportistas y en la columna de ""Acciones"" se encuentra el botón azul con ícono de lápiz donde se pueden editar los datos del transportista."
¿Existe un límite de transportistas que puedo registrar?,Registro de transportistas,"No, el usuario puede registrar tantos transportistas tenga o cuantos decida tener registrados."
¿Cómo se calcula la experiencia de un transportista?,Registro de transportistas,La experiencia de un transportista se calcula en función de los años de servicio registrados en el sistema.
¿Puedo ver un historial de los viajes realizados por cada transportista?,Registro de transportistas,"No, no existe un historial de viajes registrado para los transportistas en el sistema."
¿Cómo se manejan las actualizaciones de licencias o permisos?,Registro de transportistas,Las actualizaciones de licencias deben ser hechas manualmente por el representante del transportista.
¿Es posible asignar calificaciones o reseñas a los transportistas?,Registro de transportistas,"No, la calificación que se les da es al servicio en general de la empresa de transporte."
¿Cómo se notifica a los transportistas sobre nuevas oportunidades de trabajo?,Registro de transportistas,Los representantes de las empresas de transporte son los que gestionan los viajes de las ofertas de trabajo. En el perfil del transportista únicamente aparecerán los detalles del viaje en curso en su página principal.
¿Puedo agrupar transportistas por tipo de licencia?,Registro de transportistas,"No, no es posible agrupar transportistas por tipo de licencia."
¿Cómo se maneja la baja de un transportista del sistema?,Registro de transportistas,"En la sección de Transportistas se visualizan los transportistas ya registrados, en la columna de ""Acciones"" se encuentran los botones para actualizar (botón azul) y eliminar (botón rojo). Dando clic en el botón rojo de la fila del transportista que se quiera dar de baja, se eliminará al transportista."
¿Cómo se integra este registro de transportistas con el proceso de asignación de viajes?,Registro de transportistas,Al ser aceptado en una postulación el representante de empresas de transporte son los encargados de asignar transportista y recursos al viaje.
¿Cómo agrego una nueva sede?,Módulo de Sedes,"Puedes agregar una nueva sede desde el módulo de gestión de sedes. Solo necesitas proporcionar el nombre, la dirección y luego guardarla."
¿Es posible editar la información de una sede ya registrada?,Módulo de Sedes,"Sí, puedes editar la información de una sede. Solo necesitas seleccionar la sede en la lista, hacer clic en el ícono de lápiz en la columna de acciones y actualizar los datos requeridos."
¿Qué información se requiere para registrar una sede?,Módulo de Sedes,"En la sección de Sedes se pueden añadir nuevas ubicaciones. Para registrar una sede, necesitas proporcionar: nombre de la sede y la dirección completa."
¿Cómo elimino una sede de la lista?,Módulo de Sedes,"Para eliminar una sede, haz clic en el ícono de papelera en la columna de acciones junto a la sede que deseas eliminar."
¿Puedo filtrar las sedes por ubicación?,Módulo de Sedes,"No, el sistema no cuenta con un filtro por ubicación para las sedes."
¿Qué significa el ícono de lápiz en la columna de acciones?,Módulo de Sedes,"El ícono de lápiz indica la opción de editar. Al hacer clic en él, puedes modificar la información del recurso."
¿Puedo ordenar las sedes por nombre o dirección?,Módulo de Sedes,"No, actualmente no es posible ordenar las sedes por ningún tipo de categoría."
¿Existe un límite de sedes que puedo registrar?,Módulo de Sedes,"No, la empresa de autotransporte puede registrar tantas sedes tenga o cuantas decida tener registrados."
¿Qué sucede si una sede tiene la misma dirección que otra?,Módulo de Sedes,No pasa nada.
¿Cómo puedo ver más detalles sobre una sede específica?,Módulo de Sedes,"Para ver más detalles de una sede, haz clic en su nombre en la lista de sedes. Esto abrirá una página con toda la información relevante."
¿Puedo vincular cada sede con un transportista específico?,Módulo de Sedes,"No, no es posible vincular sedes con transportistas específicos."
¿Puedo buscar sedes por nombre?,Módulo de Sedes,"No, el sistema no incluye una función de búsqueda de sedes."
¿Qué significa el ícono de papelera en la columna de acciones?,Módulo de Sedes,"El ícono de papelera indica la opción para eliminar un recurso. Al hacer clic en él, el sistema borrará la información de ese recurso."
¿Cómo configuro una sede como la principal?,Módulo de Sedes,No existe ese tipo de configuración en la aplicación web.
¿Cómo se actualiza la dirección de una sede?,Módulo de Sedes,"La dirección de una sede se actualiza ingresando a Gestión de sedes y dando clic en el botón azul de la fila de la sede que quieras editar. Una vez editada, guarda los cambios para que se reflejen en la lista."
¿Se notificará a alguien si se eliminan sedes?,Módulo de Sedes,"No, no se notificará cuando se eliminen sedes, ya que se asume que solo el representante de la empresa de autotransporte tiene control de la cuenta."
¿Es posible agrupar sedes por ciudad o región?,Módulo de Sedes,"No, actualmente no es posible agrupar sedes por ninguna categoría."
¿Es posible editar la información de un transportista ya registrado?,Gestión de Transportistas,"Sí, puedes editar la información de un transportista ingresando a Gestión de transportistas y dando clic al botón azul con ícono de lápiz."
¿Qué información se necesita para registrar un transportista?,Gestión de Transportistas,"Se requiere el nombre completo, RFC, número de teléfono, correo electrónico, contraseña exclusiva para CargaLinkCDMX años de experiencia, tipo de licencia, estatus del transportista y la sede."
¿Cómo elimino un transportista de la lista?,Gestión de Transportistas,"Para eliminar un transportista, accede a la Gestión de Transportistas, en la fila del transportista haz clic en el botón rojo con ícono de papelera."
¿Puedo filtrar los transportistas por sede o experiencia?,Gestión de Transportistas,"No, actualmente no es posible filtrar la lista de transportistas por ningún tipo de categoría."
¿Cómo se guardan los cambios realizados en un transportista?,Gestión de Transportistas,"Al modificar los datos del transportista, se le debe dar clic al botón ""Actualizar transportista"" para guardar los cambios."
¿Puedo ordenar los transportistas por nombre o experiencia?,Gestión de Transportistas,"No, no es posible ordenar los transportistas por nombre o experiencia."
¿Cómo se asegura la privacidad de la información de cada transportista?,Gestión de Transportistas,"La privacidad se gestiona mediante permisos de acceso, encriptación de datos y cumplimiento de políticas de protección de datos."
¿Cómo puedo ver más detalles sobre un transportista específico?,Gestión de Transportistas,Puedes ver más detalles seleccionando el transportista en la lista para acceder a sus datos.
¿Puedo vincular cada transportista con un vehículo específico?,Gestión de Transportistas,"No, no es posible vincular transportistas con vehículos específicos."
¿Puedo buscar transportistas por nombre o categoría?,Gestión de Transportistas,"No, el sistema no incluye una función de búsqueda por nombre o categoría."
¿Cómo asigno una sede a un transportista?,Gestión de Transportistas,La sede se asigna al registrar un nuevo transportista o editando la información del transportista.
¿Puedo cambiar el estado de disponibilidad de un transportista?,Gestión de Transportistas,El estado de disponibilidad de un transportista es únicamente cambiado desde el perfil del transportista.
¿Es posible asignar calificaciones o reseñas a cada transportista?,Gestión de Transportistas,"No, la calificación que se da es al servicio en general de la empresa de transporte."
¿Cómo se actualiza la categoría de licencia de un transportista?,Gestión de Transportistas,La categoría se actualiza editando el perfil del transportista y seleccionando una nueva categoría desde las opciones disponibles.
¿Se notificará a alguien si se elimina un transportista?,Gestión de Transportistas,"No, no se notificará cuando se elimine un transportista, ya que solo el representante de la empresa de autotransporte gestiona los cambios en el sistema."
¿Cómo se gestiona la experiencia de cada transportista?,Gestión de Transportistas,La experiencia se gestiona actualizando el perfil del transportista con sus años de experiencia
¿Cómo se registra la categoría de licencia de cada transportista?,Gestión de Transportistas,"La categoría de licencia se asigna al registrar al transportista o editar el perfil del transportista, seleccionando el tipo de licencia correspondiente."
¿Cómo agrego un nuevo vehículo a la lista?,Gestión de vehículos,"Para agregar un vehículo, selecciona la opción ""Agregar vehículo"" en el módulo correspondiente e ingresa la información que se solicita en el formulario."
¿Es posible editar la información de un vehículo ya registrado?,Gestión de vehículos,"Sí, puedes editar la información de un vehículo, entrando a la sección de Vehículos y dando clic al botón azul de la fila correspondiente al vehículo que se desea editar."
¿Qué información se necesita para registrar un vehículo?,Gestión de vehículos,"La información requerida incluye: número de placa, marca, modelo, tipo de vehículo, (tipo de camión unitario en caso de que sea Camión Unitario), largo en metros, peso en kilos, número de ejes, número de llantas, sede asignada y su estatus actual."
¿Cómo elimino un vehículo de la lista?,Gestión de vehículos,"Para eliminar un vehículo, selecciona el botón rojo con el ícono de papelera en la columna de ""Acciones"" y la fila del vehículo."
¿Puedo filtrar los vehículos por sede o disponibilidad?,Gestión de vehículos,"No, el sistema no permite filtrar vehículos por sede o disponibilidad."
¿Cómo se guardan los cambios realizados en un vehículo?,Gestión de vehículos,"Los cambios se guardan al dar clic en el botón ""Guardar"" o ""Actualizar"" en el formulario de edición."
¿Puedo ordenar los vehículos por marca o modelo?,Gestión de vehículos,"No, no es posible ordenar los vehículos por ninguna categoría."
¿Cómo se asegura la privacidad de la información de cada vehículo?,Gestión de vehículos,La privacidad se garantiza mediante permisos de acceso.
¿Existe un límite de vehículos que puedo registrar?,Gestión de vehículos,"No, la empresa de autotransporte puede registrar tantos vehículos tenga o cuantos decida tener registrados."
¿Qué sucede si dos vehículos tienen la misma placa?,Gestión de vehículos,"El sistema no permite duplicar números de placa, ya que deben ser únicos para cada vehículo."
¿Cómo puedo ver más detalles sobre un vehículo específico?,Gestión de vehículos,Selecciona el vehículo en la lista.
¿Puedo vincular cada vehículo con un transportista específico?,Gestión de vehículos,"No, actualmente no es posible vincular vehículos con transportistas específicos."
¿Puedo buscar vehículos por modelo o marca?,Gestión de vehículos,"No, no existe una función de búsqueda de vehículos."
¿Cómo asigno una sede a un vehículo?,Gestión de vehículos,"En el registro de vehículos se solicita asignar una sede al vehículo."
¿Puedo cambiar el estado de disponibilidad de un vehículo?,Gestión de vehículos,"Únicamente el representante de transporte puede cambiar el estado de disponibilidad de un vehículo."
¿Es posible asignar calificaciones o reseñas a cada vehículo?,Gestión de vehículos,"No, la calificación que se les da es al servicio en general de la empresa de transporte."
¿Cómo se actualiza la sede de un vehículo?,Gestión de vehículos,"Para actualizar la sede de un vehículo, se debe entrar a la sección de Vehículos y en la lista dar clic al botón azul con ícono de lápiz en la fila del Vehículo del que se quiera cambiar su sede."
¿Se notificará a alguien si se elimina un vehículo?,Gestión de vehículos,"No, no se notificará cuando se elimine un vehículo, ya que se asume que el representante de la empresa de autotransporte es quien realiza y controla estos cambios."
¿Cómo se gestiona la capacidad de carga de cada vehículo?,Gestión de vehículos,La capacidad de carga se establece al registrar el vehículo cuando se introducen las dimensiones del vehículo."
¿Puedo ver un historial de los viajes realizados por cada vehículo?,Gestión de vehículos,"No, no se registra un historial de viajes por vehículo."
¿Es posible agrupar vehículos por tipo o sede?,Gestión de vehículos,"No, no es posible agrupar vehículos por ningún tipo de categoría."
¿Puedo generar un reporte de todos los vehículos registrados?,Gestión de vehículos,"No, el sistema no permite generar reportes."
¿Cómo agrego un nuevo semirremolque a la lista?,Gestión de Semirremolques,"Para agregar un semirremolque, selecciona la opción ""Agregar semirremolque"" en la sección de Semirremolques y llena los datos requeridos."
¿Es posible editar la información de un semirremolque ya registrado?,Gestión de Semirremolques,"Sí, la información de un semirremolque puede ser editada desde Gestión de Semirremolque, dando clic al botón ""Editar"" de color azul con un ícono de lápiz en la fila del semirremolque que se desea modificar."
¿Qué información se necesita para registrar un semirremolque?,Gestión de Semirremolques,"Un identificador único, el tipo, sus dimensiones (largo, ancho y alto en metros), su peso en kilos, el número de ejes,, número de llantas, el estatus y la sede."
¿Cómo elimino un semirremolque de la lista?,Gestión de Semirremolques,"Para eliminar un semirremolque, se debe entrar a la sección Semirremolques, identificar el semirremolque que se dará de baja y dar clic al botón rojo con el ícono de papelera que se encuentra en la columna de ""Acciones"" en la fila del semirremolque correspondiente."
¿Puedo filtrar los semirremolques por sede o tipo?,Gestión de Semirremolques,"No, no es posible filtrar los semirremolques."
¿Cómo se guardan los cambios realizados en un semirremolque?,Gestión de Semirremolques,"Los cambios se guardan dando clic en ""Actualizar"" después de realizar las modificaciones."
¿Puedo ordenar los semirremolques por tipo o sede?,Gestión de Semirremolques,"No, el sistema no permite ordenar los semirremolques."
